               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.019504,           0.0097599,            0.015348,             0.91831,             0.90155,             0.94769,             0.80494,           0.0098879,           0.0028236,            0.022215,           0.0093971,           0.0093971,           0.0093971
                  52,            0.019257,           0.0097953,            0.015419,             0.90063,             0.91412,             0.94767,             0.80522,           0.0098779,           0.0028214,            0.022139,           0.0093733,           0.0093733,           0.0093733
                  53,            0.019298,           0.0097407,            0.015342,              0.9062,             0.91039,             0.94771,             0.80674,           0.0098755,           0.0028195,            0.022191,           0.0093491,           0.0093491,           0.0093491
                  54,            0.019141,           0.0097459,            0.015079,             0.90775,             0.90918,             0.94812,             0.80742,           0.0098654,           0.0028173,            0.022202,           0.0093245,           0.0093245,           0.0093245
                  55,            0.019184,           0.0097389,            0.015307,             0.91126,             0.90816,             0.94863,             0.80785,           0.0098499,           0.0028162,            0.022036,           0.0092995,           0.0092995,           0.0092995
                  56,            0.019128,           0.0096216,            0.014903,             0.91137,             0.90984,             0.94924,             0.80905,           0.0098418,           0.0028154,            0.022009,            0.009274,            0.009274,            0.009274
                  57,            0.019155,           0.0096758,             0.01496,             0.91409,             0.90757,             0.94954,             0.80967,           0.0098318,           0.0028119,            0.021994,           0.0092481,           0.0092481,           0.0092481
                  58,            0.019025,           0.0096584,            0.014839,             0.91493,             0.90718,              0.9498,             0.81037,           0.0098211,           0.0028092,            0.021907,           0.0092219,           0.0092219,           0.0092219
                  59,            0.019087,           0.0096352,            0.014189,             0.91548,              0.9069,             0.95013,             0.81107,           0.0098064,           0.0028061,               0.022,           0.0091952,           0.0091952,           0.0091952
                  60,            0.018771,           0.0095892,            0.014599,             0.91852,              0.9044,             0.95044,             0.81148,           0.0097941,            0.002802,            0.021988,           0.0091681,           0.0091681,           0.0091681
                  61,            0.018975,            0.009643,            0.014427,             0.91231,             0.90919,             0.95074,             0.81181,           0.0097845,           0.0027983,            0.022008,           0.0091406,           0.0091406,           0.0091406
                  62,            0.018977,           0.0096054,            0.014519,             0.91979,             0.90365,             0.95131,             0.81331,           0.0097722,           0.0027965,            0.022172,           0.0091127,           0.0091127,           0.0091127
                  63,            0.018786,           0.0094671,            0.014274,             0.91737,             0.90512,             0.95166,             0.81381,           0.0097644,            0.002793,            0.022261,           0.0090844,           0.0090844,           0.0090844
                  64,             0.01888,           0.0096028,            0.014221,             0.91516,             0.90421,             0.95143,             0.81368,           0.0097552,           0.0027889,            0.022365,           0.0090557,           0.0090557,           0.0090557
                  65,             0.01882,           0.0096445,             0.01414,             0.90807,             0.90767,              0.9513,             0.81436,           0.0097355,           0.0027854,            0.022499,           0.0090266,           0.0090266,           0.0090266
                  66,            0.018612,           0.0095357,            0.014072,             0.90721,             0.90653,             0.95125,             0.81578,            0.009721,            0.002785,            0.022581,           0.0089972,           0.0089972,           0.0089972
                  67,            0.018748,            0.009598,            0.013886,             0.92114,             0.89504,             0.95119,             0.81654,           0.0097091,           0.0027852,            0.022744,           0.0089673,           0.0089673,           0.0089673
                  68,            0.018527,           0.0094492,            0.013938,             0.92226,             0.89269,             0.95098,             0.81663,           0.0096968,           0.0027867,            0.022876,           0.0089371,           0.0089371,           0.0089371
                  69,              0.0185,           0.0094675,            0.013752,             0.92012,             0.89361,             0.95082,             0.81679,           0.0096862,           0.0027842,            0.023019,           0.0089065,           0.0089065,           0.0089065
                  70,            0.018669,           0.0094956,            0.013652,             0.92133,             0.89219,             0.95113,             0.81797,           0.0096796,           0.0027839,            0.023074,           0.0088755,           0.0088755,           0.0088755
                  71,            0.018579,           0.0094404,            0.013954,             0.91901,             0.89326,             0.95131,             0.81812,           0.0096714,           0.0027832,            0.023107,           0.0088442,           0.0088442,           0.0088442
