               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.027418,            0.012193,             0.04639,             0.64489,             0.70266,             0.76121,             0.57706,            0.015502,           0.0035162,            0.021991,           0.0068471,           0.0068471,           0.0068471
                  52,            0.026949,             0.01185,            0.045511,             0.54798,             0.80634,             0.77414,             0.53055,             0.01653,           0.0036615,            0.022956,           0.0067379,           0.0067379,           0.0067379
                  53,            0.026555,            0.011559,            0.044603,             0.64943,             0.65667,             0.74717,             0.54389,            0.015108,           0.0035037,            0.022409,           0.0066279,           0.0066279,           0.0066279
                  54,            0.027381,            0.012225,            0.045852,             0.67577,             0.67907,             0.75438,             0.52213,            0.017364,           0.0035596,            0.021438,           0.0065172,           0.0065172,           0.0065172
                  55,            0.026573,            0.011572,            0.042965,             0.78269,             0.65254,             0.79927,             0.56264,            0.017762,           0.0037487,            0.020699,           0.0064058,           0.0064058,           0.0064058
                  56,              0.0274,            0.011933,            0.043649,             0.62142,             0.81969,             0.82318,             0.62515,            0.015725,           0.0036716,            0.019675,           0.0062939,           0.0062939,           0.0062939
                  57,            0.026928,            0.011694,            0.043822,             0.72935,             0.67868,             0.79961,             0.59425,            0.015277,           0.0036232,            0.022933,           0.0061814,           0.0061814,           0.0061814
                  58,             0.02708,            0.011696,            0.044586,             0.69704,             0.79646,             0.84954,             0.64825,            0.014976,           0.0035309,            0.019011,           0.0060685,           0.0060685,           0.0060685
                  59,            0.026556,            0.011675,             0.04325,             0.72297,             0.73473,             0.82896,             0.59849,             0.01679,           0.0035904,            0.019414,           0.0059553,           0.0059553,           0.0059553
                  60,            0.026842,            0.011508,            0.043533,             0.73062,             0.72347,              0.8267,             0.61562,            0.015267,           0.0036874,            0.018398,           0.0058417,           0.0058417,           0.0058417
                  61,            0.026062,            0.011714,            0.040764,             0.72356,             0.78078,             0.84463,             0.64391,             0.01622,           0.0034581,            0.017913,           0.0057279,           0.0057279,           0.0057279
                  62,            0.026519,            0.011746,            0.042135,             0.69812,             0.78896,             0.86071,             0.62478,            0.016158,           0.0035576,            0.017754,            0.005614,            0.005614,            0.005614
                  63,            0.025366,            0.011264,                0.04,             0.65141,             0.82258,             0.84918,             0.63511,            0.015564,           0.0036068,            0.017395,              0.0055,              0.0055,              0.0055
                  64,            0.025571,            0.011383,            0.041192,             0.63233,             0.85833,             0.84763,             0.63207,            0.016567,           0.0035655,            0.017613,            0.005386,            0.005386,            0.005386
                  65,            0.025855,            0.011293,            0.040514,             0.75487,             0.73195,             0.83692,             0.59265,            0.016709,           0.0034427,            0.016629,           0.0052721,           0.0052721,           0.0052721
                  66,            0.025715,            0.011428,            0.039821,             0.78953,             0.74331,             0.86045,             0.67208,            0.015083,           0.0033909,            0.016312,           0.0051583,           0.0051583,           0.0051583
                  67,              0.0261,            0.011346,            0.039484,             0.70125,             0.83341,             0.87857,             0.64084,            0.015483,           0.0035158,            0.015349,           0.0050447,           0.0050447,           0.0050447
                  68,            0.025676,            0.011009,            0.039008,             0.73225,             0.77542,             0.85394,             0.66542,            0.014887,           0.0034239,            0.014928,           0.0049315,           0.0049315,           0.0049315
                  69,            0.025267,            0.011503,            0.039655,             0.69374,              0.8276,             0.86246,             0.66498,            0.015149,           0.0034217,            0.015003,           0.0048186,           0.0048186,           0.0048186
                  70,            0.025167,            0.011369,             0.03808,             0.66372,             0.86843,             0.86628,             0.63117,            0.016246,            0.003419,            0.013749,           0.0047061,           0.0047061,           0.0047061
                  71,            0.024426,            0.011195,            0.037167,             0.68358,             0.84977,             0.87416,             0.66605,            0.014742,           0.0032844,            0.015501,           0.0045942,           0.0045942,           0.0045942
                  72,            0.024441,            0.011085,            0.036841,             0.79015,             0.82568,             0.86901,             0.66466,            0.015677,           0.0034322,            0.014187,           0.0044828,           0.0044828,           0.0044828
                  73,            0.025312,            0.011282,            0.036238,             0.77752,             0.83679,              0.8967,             0.69258,             0.01472,           0.0033469,            0.013012,           0.0043721,           0.0043721,           0.0043721
                  74,            0.025662,            0.011411,            0.037667,             0.73562,             0.84294,             0.90416,             0.68473,            0.015619,           0.0034257,            0.012696,           0.0042621,           0.0042621,           0.0042621
                  75,            0.024367,            0.010813,            0.036112,             0.75011,             0.87238,             0.90284,             0.70328,            0.015173,           0.0033283,            0.013712,           0.0041529,           0.0041529,           0.0041529
                  76,            0.024897,            0.010935,            0.036155,             0.75934,             0.84333,             0.88897,               0.678,            0.015905,           0.0033479,            0.012425,           0.0040445,           0.0040445,           0.0040445
                  77,            0.023743,            0.010709,             0.03493,             0.77173,              0.8655,             0.90802,             0.68142,            0.015275,           0.0033555,            0.012951,           0.0039371,           0.0039371,           0.0039371
                  78,            0.024441,            0.010949,            0.034971,             0.72436,             0.86949,             0.89871,              0.6905,            0.014168,           0.0033857,            0.013263,           0.0038307,           0.0038307,           0.0038307
                  79,            0.024429,            0.010943,             0.03368,             0.75967,             0.88842,             0.91272,             0.69959,            0.014725,           0.0032631,             0.01242,           0.0037254,           0.0037254,           0.0037254
                  80,            0.024116,            0.010868,            0.033584,              0.8766,             0.77791,              0.9135,              0.6795,            0.014732,            0.003421,            0.012846,           0.0036212,           0.0036212,           0.0036212
                  81,            0.023953,            0.010897,            0.034118,             0.84747,              0.8025,             0.89528,             0.68596,            0.014994,           0.0032582,            0.012743,           0.0035182,           0.0035182,           0.0035182
                  82,            0.024162,            0.010838,            0.034736,             0.84105,             0.82505,             0.90863,             0.71704,            0.013977,           0.0032961,            0.011449,           0.0034165,           0.0034165,           0.0034165
                  83,            0.022992,            0.010951,            0.033141,             0.76027,              0.8849,             0.89648,              0.6762,            0.016164,           0.0033754,            0.012312,           0.0033161,           0.0033161,           0.0033161
                  84,            0.023579,            0.010752,            0.032977,             0.78004,             0.85244,             0.91192,              0.7113,            0.014214,           0.0032878,             0.01063,           0.0032172,           0.0032172,           0.0032172
                  85,            0.023413,            0.010587,            0.032864,             0.85957,              0.8281,             0.91161,             0.72135,            0.013956,           0.0033053,            0.011312,           0.0031197,           0.0031197,           0.0031197
                  86,            0.023699,            0.010677,             0.03378,             0.85383,             0.81254,             0.91934,             0.67744,              0.0159,           0.0032791,             0.01057,           0.0030237,           0.0030237,           0.0030237
                  87,            0.023616,            0.010658,            0.032349,             0.84933,             0.87415,             0.91762,              0.7003,            0.015209,           0.0033018,            0.011145,           0.0029293,           0.0029293,           0.0029293
                  88,            0.023907,             0.01066,            0.033142,              0.8308,             0.81923,             0.92122,             0.72264,            0.014083,           0.0032203,             0.01108,           0.0028366,           0.0028366,           0.0028366
                  89,            0.023025,            0.010549,            0.030353,             0.80331,             0.88241,              0.9281,             0.68651,            0.015608,           0.0032925,           0.0098692,           0.0027455,           0.0027455,           0.0027455
